date,vehicle_category,vehicle_class,manufacturer,state,rto,registrations,quarter,year
2022-01-01,2W,MOTORCYCLE,Hero MotoCorp,Maharashtra,MA21,16894,2022-Q1,2022
2022-01-01,2W,MOPED,Hero MotoCorp,Tamil Nadu,TA88,11360,2022-Q1,2022
2022-01-01,2W,SCOOTER,Hero MotoCorp,Karnataka,KA38,17242,2022-Q1,2022
2022-01-01,2W,SCOOTER,Hero MotoCorp,Gujarat,GU22,8179,2022-Q1,2022
2022-01-01,2W,MOPED,Hero MotoCorp,Uttar Pradesh,UT42,13159,2022-Q1,2022
2022-01-01,2W,MOPED,Honda,Maharashtra,MA62,7477,2022-Q1,2022
2022-01-01,2W,MOTORCYCLE,Honda,Tamil Nadu,TA03,12446,2022-Q1,2022
2022-01-01,2W,SCOOTER,Honda,Karnataka,KA04,9057,2022-Q1,2022
2022-01-01,2W,MOTORCYCLE,Honda,Gujarat,GU90,16732,2022-Q1,2022
2022-01-01,2W,MOPED,Honda,Uttar Pradesh,UT44,8024,2022-Q1,2022
2022-01-01,2W,MOTORCYCLE,TVS,Maharashtra,MA36,12321,2022-Q1,2022
2022-01-01,2W,SCOOTER,TVS,Tamil Nadu,TA93,5234,2022-Q1,2022
2022-01-01,2W,SCOOTER,TVS,Karnataka,KA62,15865,2022-Q1,2022
2022-01-01,2W,SCOOTER,TVS,Gujarat,GU87,5021,2022-Q1,2022
2022-01-01,2W,MOTORCYCLE,TVS,Uttar Pradesh,UT82,12110,2022-Q1,2022
2022-01-01,2W,MOTORCYCLE,Bajaj,Maharashtra,MA41,4987,2022-Q1,2022
2022-01-01,2W,MOPED,Bajaj,Tamil Nadu,TA09,7674,2022-Q1,2022
2022-01-01,2W,MOPED,Bajaj,Karnataka,KA11,8638,2022-Q1,2022
2022-01-01,2W,MOPED,Bajaj,Gujarat,GU05,10665,2022-Q1,2022
2022-01-01,2W,MOPED,Bajaj,Uttar Pradesh,UT73,6521,2022-Q1,2022
2022-01-01,2W,MOPED,Yamaha,Maharashtra,MA23,14446,2022-Q1,2022
2022-01-01,2W,SCOOTER,Yamaha,Tamil Nadu,TA91,16545,2022-Q1,2022
2022-01-01,2W,SCOOTER,Yamaha,Karnataka,KA03,11264,2022-Q1,2022
2022-01-01,2W,SCOOTER,Yamaha,Gujarat,GU27,7115,2022-Q1,2022
2022-01-01,2W,MOTORCYCLE,Yamaha,Uttar Pradesh,UT51,7210,2022-Q1,2022
2022-01-01,2W,SCOOTER,Royal Enfield,Maharashtra,MA23,5294,2022-Q1,2022
2022-01-01,2W,MOTORCYCLE,Royal Enfield,Tamil Nadu,TA32,9020,2022-Q1,2022
2022-01-01,2W,SCOOTER,Royal Enfield,Karnataka,KA57,14090,2022-Q1,2022
2022-01-01,2W,SCOOTER,Royal Enfield,Gujarat,GU62,12979,2022-Q1,2022
2022-01-01,2W,MOTORCYCLE,Royal Enfield,Uttar Pradesh,UT62,7983,2022-Q1,2022
2022-01-01,3W,AUTO RICKSHAW,Bajaj Auto,Maharashtra,MA77,1818,2022-Q1,2022
2022-01-01,3W,E-RICKSHAW,Bajaj Auto,Tamil Nadu,TA09,1388,2022-Q1,2022
2022-01-01,3W,E-RICKSHAW,Bajaj Auto,Karnataka,KA32,1419,2022-Q1,2022
2022-01-01,3W,3W GOODS VEHICLE,Bajaj Auto,Gujarat,GU58,1726,2022-Q1,2022
2022-01-01,3W,E-RICKSHAW,Bajaj Auto,Uttar Pradesh,UT56,1738,2022-Q1,2022
2022-01-01,3W,3W GOODS VEHICLE,Mahindra,Maharashtra,MA87,1283,2022-Q1,2022
2022-01-01,3W,3W GOODS VEHICLE,Mahindra,Tamil Nadu,TA02,2142,2022-Q1,2022
2022-01-01,3W,E-RICKSHAW,Mahindra,Karnataka,KA68,2372,2022-Q1,2022
2022-01-01,3W,E-RICKSHAW,Mahindra,Gujarat,GU38,565,2022-Q1,2022
2022-01-01,3W,AUTO RICKSHAW,Mahindra,Uttar Pradesh,UT73,636,2022-Q1,2022
2022-01-01,3W,E-RICKSHAW,TVS,Maharashtra,MA20,665,2022-Q1,2022
2022-01-01,3W,E-RICKSHAW,TVS,Tamil Nadu,TA19,2396,2022-Q1,2022
2022-01-01,3W,E-RICKSHAW,TVS,Karnataka,KA82,2364,2022-Q1,2022
2022-01-01,3W,AUTO RICKSHAW,TVS,Gujarat,GU50,960,2022-Q1,2022
2022-01-01,3W,E-RICKSHAW,TVS,Uttar Pradesh,UT16,1880,2022-Q1,2022
2022-01-01,3W,AUTO RICKSHAW,Piaggio,Maharashtra,MA02,1017,2022-Q1,2022
2022-01-01,3W,E-RICKSHAW,Piaggio,Tamil Nadu,TA09,2579,2022-Q1,2022
2022-01-01,3W,3W GOODS VEHICLE,Piaggio,Karnataka,KA33,2236,2022-Q1,2022
2022-01-01,3W,3W GOODS VEHICLE,Piaggio,Gujarat,GU84,1191,2022-Q1,2022
2022-01-01,3W,3W GOODS VEHICLE,Piaggio,Uttar Pradesh,UT82,2136,2022-Q1,2022
2022-01-01,3W,AUTO RICKSHAW,Force Motors,Maharashtra,MA14,1140,2022-Q1,2022
2022-01-01,3W,E-RICKSHAW,Force Motors,Tamil Nadu,TA67,1120,2022-Q1,2022
2022-01-01,3W,E-RICKSHAW,Force Motors,Karnataka,KA86,1042,2022-Q1,2022
2022-01-01,3W,3W GOODS VEHICLE,Force Motors,Gujarat,GU51,1440,2022-Q1,2022
2022-01-01,3W,AUTO RICKSHAW,Force Motors,Uttar Pradesh,UT30,2014,2022-Q1,2022
2022-01-01,4W,MOTOR CAR,Maruti Suzuki,Maharashtra,MA48,8408,2022-Q1,2022
2022-01-01,4W,MOTOR CAR,Maruti Suzuki,Tamil Nadu,TA44,9747,2022-Q1,2022
2022-01-01,4W,SUV,Maruti Suzuki,Karnataka,KA37,5197,2022-Q1,2022
2022-01-01,4W,BUS,Maruti Suzuki,Gujarat,GU97,8136,2022-Q1,2022
2022-01-01,4W,COMMERCIAL VEHICLE,Maruti Suzuki,Uttar Pradesh,UT33,5168,2022-Q1,2022
2022-01-01,4W,COMMERCIAL VEHICLE,Hyundai,Maharashtra,MA54,4489,2022-Q1,2022
2022-01-01,4W,SUV,Hyundai,Tamil Nadu,TA32,3483,2022-Q1,2022
2022-01-01,4W,SUV,Hyundai,Karnataka,KA02,4877,2022-Q1,2022
2022-01-01,4W,COMMERCIAL VEHICLE,Hyundai,Gujarat,GU48,6029,2022-Q1,2022
2022-01-01,4W,COMMERCIAL VEHICLE,Hyundai,Uttar Pradesh,UT50,9467,2022-Q1,2022
2022-01-01,4W,COMMERCIAL VEHICLE,Tata Motors,Maharashtra,MA57,1891,2022-Q1,2022
2022-01-01,4W,BUS,Tata Motors,Tamil Nadu,TA16,5833,2022-Q1,2022
2022-01-01,4W,BUS,Tata Motors,Karnataka,KA98,6735,2022-Q1,2022
2022-01-01,4W,COMMERCIAL VEHICLE,Tata Motors,Gujarat,GU25,4592,2022-Q1,2022
2022-01-01,4W,SUV,Tata Motors,Uttar Pradesh,UT58,4330,2022-Q1,2022
2022-01-01,4W,COMMERCIAL VEHICLE,Mahindra,Maharashtra,MA54,2726,2022-Q1,2022
2022-01-01,4W,BUS,Mahindra,Tamil Nadu,TA05,4190,2022-Q1,2022
2022-01-01,4W,BUS,Mahindra,Karnataka,KA94,5073,2022-Q1,2022
2022-01-01,4W,SUV,Mahindra,Gujarat,GU19,5856,2022-Q1,2022
2022-01-01,4W,SUV,Mahindra,Uttar Pradesh,UT55,2479,2022-Q1,2022
2022-01-01,4W,COMMERCIAL VEHICLE,Honda Cars,Maharashtra,MA09,10282,2022-Q1,2022
2022-01-01,4W,MOTOR CAR,Honda Cars,Tamil Nadu,TA34,2866,2022-Q1,2022
2022-01-01,4W,MOTOR CAR,Honda Cars,Karnataka,KA01,2010,2022-Q1,2022
2022-01-01,4W,MOTOR CAR,Honda Cars,Gujarat,GU22,5806,2022-Q1,2022
2022-01-01,4W,COMMERCIAL VEHICLE,Honda Cars,Uttar Pradesh,UT86,4754,2022-Q1,2022
2022-01-01,4W,SUV,Toyota,Maharashtra,MA62,5419,2022-Q1,2022
2022-01-01,4W,SUV,Toyota,Tamil Nadu,TA48,5317,2022-Q1,2022
2022-01-01,4W,SUV,Toyota,Karnataka,KA23,2843,2022-Q1,2022
2022-01-01,4W,COMMERCIAL VEHICLE,Toyota,Gujarat,GU10,6823,2022-Q1,2022
2022-01-01,4W,MOTOR CAR,Toyota,Uttar Pradesh,UT04,3733,2022-Q1,2022
2022-01-01,4W,BUS,Kia,Maharashtra,MA32,8350,2022-Q1,2022
2022-01-01,4W,COMMERCIAL VEHICLE,Kia,Tamil Nadu,TA33,3553,2022-Q1,2022
2022-01-01,4W,BUS,Kia,Karnataka,KA67,4811,2022-Q1,2022
2022-01-01,4W,MOTOR CAR,Kia,Gujarat,GU13,4697,2022-Q1,2022
2022-01-01,4W,COMMERCIAL VEHICLE,Kia,Uttar Pradesh,UT35,3903,2022-Q1,2022
2022-02-01,2W,SCOOTER,Hero MotoCorp,Maharashtra,MA90,19194,2022-Q1,2022
2022-02-01,2W,SCOOTER,Hero MotoCorp,Tamil Nadu,TA75,18701,2022-Q1,2022
2022-02-01,2W,SCOOTER,Hero MotoCorp,Karnataka,KA73,8094,2022-Q1,2022
2022-02-01,2W,SCOOTER,Hero MotoCorp,Gujarat,GU96,12007,2022-Q1,2022
2022-02-01,2W,MOTORCYCLE,Hero MotoCorp,Uttar Pradesh,UT23,18215,2022-Q1,2022
2022-02-01,2W,SCOOTER,Honda,Maharashtra,MA84,24516,2022-Q1,2022
2022-02-01,2W,MOPED,Honda,Tamil Nadu,TA49,19048,2022-Q1,2022
2022-02-01,2W,MOTORCYCLE,Honda,Karnataka,KA71,23750,2022-Q1,2022
2022-02-01,2W,MOPED,Honda,Gujarat,GU16,19133,2022-Q1,2022
2022-02-01,2W,MOTORCYCLE,Honda,Uttar Pradesh,UT53,11009,2022-Q1,2022
2022-02-01,2W,MOTORCYCLE,TVS,Maharashtra,MA42,12488,2022-Q1,2022
2022-02-01,2W,MOPED,TVS,Tamil Nadu,TA87,7626,2022-Q1,2022
2022-02-01,2W,MOTORCYCLE,TVS,Karnataka,KA74,14880,2022-Q1,2022
2022-02-01,2W,SCOOTER,TVS,Gujarat,GU09,5788,2022-Q1,2022
2022-02-01,2W,SCOOTER,TVS,Uttar Pradesh,UT83,14644,2022-Q1,2022
2022-02-01,2W,MOTORCYCLE,Bajaj,Maharashtra,MA71,14432,2022-Q1,2022
2022-02-01,2W,MOPED,Bajaj,Tamil Nadu,TA19,7878,2022-Q1,2022
2022-02-01,2W,SCOOTER,Bajaj,Karnataka,KA19,10113,2022-Q1,2022
2022-02-01,2W,SCOOTER,Bajaj,Gujarat,GU58,15002,2022-Q1,2022
2022-02-01,2W,MOPED,Bajaj,Uttar Pradesh,UT01,19278,2022-Q1,2022
2022-02-01,2W,MOPED,Yamaha,Maharashtra,MA25,12295,2022-Q1,2022
2022-02-01,2W,SCOOTER,Yamaha,Tamil Nadu,TA44,5107,2022-Q1,2022
2022-02-01,2W,SCOOTER,Yamaha,Karnataka,KA85,15027,2022-Q1,2022
2022-02-01,2W,MOTORCYCLE,Yamaha,Gujarat,GU18,16080,2022-Q1,2022
2022-02-01,2W,MOPED,Yamaha,Uttar Pradesh,UT01,10859,2022-Q1,2022
2022-02-01,2W,SCOOTER,Royal Enfield,Maharashtra,MA76,11978,2022-Q1,2022
2022-02-01,2W,SCOOTER,Royal Enfield,Tamil Nadu,TA08,10309,2022-Q1,2022
2022-02-01,2W,MOPED,Royal Enfield,Karnataka,KA63,6581,2022-Q1,2022
2022-02-01,2W,MOTORCYCLE,Royal Enfield,Gujarat,GU92,10687,2022-Q1,2022
2022-02-01,2W,SCOOTER,Royal Enfield,Uttar Pradesh,UT69,6019,2022-Q1,2022
2022-02-01,3W,3W GOODS VEHICLE,Bajaj Auto,Maharashtra,MA05,1832,2022-Q1,2022
2022-02-01,3W,E-RICKSHAW,Bajaj Auto,Tamil Nadu,TA49,2351,2022-Q1,2022
2022-02-01,3W,3W GOODS VEHICLE,Bajaj Auto,Karnataka,KA59,1158,2022-Q1,2022
2022-02-01,3W,AUTO RICKSHAW,Bajaj Auto,Gujarat,GU01,882,2022-Q1,2022
2022-02-01,3W,E-RICKSHAW,Bajaj Auto,Uttar Pradesh,UT05,1029,2022-Q1,2022
2022-02-01,3W,AUTO RICKSHAW,Mahindra,Maharashtra,MA74,1953,2022-Q1,2022
2022-02-01,3W,3W GOODS VEHICLE,Mahindra,Tamil Nadu,TA01,1471,2022-Q1,2022
2022-02-01,3W,AUTO RICKSHAW,Mahindra,Karnataka,KA32,940,2022-Q1,2022
2022-02-01,3W,3W GOODS VEHICLE,Mahindra,Gujarat,GU34,1923,2022-Q1,2022
2022-02-01,3W,AUTO RICKSHAW,Mahindra,Uttar Pradesh,UT54,2417,2022-Q1,2022
2022-02-01,3W,AUTO RICKSHAW,TVS,Maharashtra,MA17,919,2022-Q1,2022
2022-02-01,3W,E-RICKSHAW,TVS,Tamil Nadu,TA51,1664,2022-Q1,2022
2022-02-01,3W,3W GOODS VEHICLE,TVS,Karnataka,KA82,1068,2022-Q1,2022
2022-02-01,3W,3W GOODS VEHICLE,TVS,Gujarat,GU52,1398,2022-Q1,2022
2022-02-01,3W,3W GOODS VEHICLE,TVS,Uttar Pradesh,UT51,666,2022-Q1,2022
2022-02-01,3W,AUTO RICKSHAW,Piaggio,Maharashtra,MA74,2071,2022-Q1,2022
2022-02-01,3W,3W GOODS VEHICLE,Piaggio,Tamil Nadu,TA53,1749,2022-Q1,2022
2022-02-01,3W,E-RICKSHAW,Piaggio,Karnataka,KA23,667,2022-Q1,2022
2022-02-01,3W,AUTO RICKSHAW,Piaggio,Gujarat,GU67,2034,2022-Q1,2022
2022-02-01,3W,AUTO RICKSHAW,Piaggio,Uttar Pradesh,UT51,1247,2022-Q1,2022
2022-02-01,3W,AUTO RICKSHAW,Force Motors,Maharashtra,MA22,1253,2022-Q1,2022
2022-02-01,3W,3W GOODS VEHICLE,Force Motors,Tamil Nadu,TA49,2208,2022-Q1,2022
2022-02-01,3W,3W GOODS VEHICLE,Force Motors,Karnataka,KA47,1882,2022-Q1,2022
2022-02-01,3W,E-RICKSHAW,Force Motors,Gujarat,GU63,2496,2022-Q1,2022
2022-02-01,3W,AUTO RICKSHAW,Force Motors,Uttar Pradesh,UT52,863,2022-Q1,2022
2022-02-01,4W,SUV,Maruti Suzuki,Maharashtra,MA90,3887,2022-Q1,2022
2022-02-01,4W,SUV,Maruti Suzuki,Tamil Nadu,TA14,7249,2022-Q1,2022
2022-02-01,4W,COMMERCIAL VEHICLE,Maruti Suzuki,Karnataka,KA18,9650,2022-Q1,2022
2022-02-01,4W,COMMERCIAL VEHICLE,Maruti Suzuki,Gujarat,GU28,5395,2022-Q1,2022
2022-02-01,4W,SUV,Maruti Suzuki,Uttar Pradesh,UT90,5692,2022-Q1,2022
2022-02-01,4W,MOTOR CAR,Hyundai,Maharashtra,MA68,8388,2022-Q1,2022
2022-02-01,4W,COMMERCIAL VEHICLE,Hyundai,Tamil Nadu,TA86,2409,2022-Q1,2022
2022-02-01,4W,BUS,Hyundai,Karnataka,KA83,11110,2022-Q1,2022
2022-02-01,4W,SUV,Hyundai,Gujarat,GU59,5416,2022-Q1,2022
2022-02-01,4W,MOTOR CAR,Hyundai,Uttar Pradesh,UT33,2895,2022-Q1,2022
2022-02-01,4W,BUS,Tata Motors,Maharashtra,MA04,3178,2022-Q1,2022
2022-02-01,4W,MOTOR CAR,Tata Motors,Tamil Nadu,TA03,5717,2022-Q1,2022
2022-02-01,4W,COMMERCIAL VEHICLE,Tata Motors,Karnataka,KA06,6789,2022-Q1,2022
